Park,Year,SingleVisitorEntryFee,SingleVehicleEntry
Olympic NP,1984,NA,NA
Olympic NP,1985,NA,NA
Olympic NP,1986,NA,NA
Olympic NP,1987,NA,NA
Olympic NP,1988,NA,NA
Olympic NP,1989,NA,NA
Olympic NP,1990,NA,NA
Olympic NP,1991,NA,NA
Olympic NP,1992,NA,NA
Olympic NP,1993,NA,NA
Olympic NP,1994,NA,NA
Olympic NP,1995,NA,NA
Olympic NP,1996,NA,NA
Olympic NP,1997,5,10
Olympic NP,1998,5,10
Olympic NP,1999,5,10
Olympic NP,2000,5,10
Olympic NP,2001,5,10
Olympic NP,2002,5,10
Olympic NP,2003,5,10
Olympic NP,2004,5,10
Olympic NP,2005,5,10
Olympic NP,2006,5,15
Olympic NP,2007,5,15
Olympic NP,2008,5,15
Olympic NP,2009,5,15
Olympic NP,2010,5,15
Olympic NP,2011,5,15
Olympic NP,2012,5,15
Olympic NP,2013,5,15
Olympic NP,2014,5,15
Olympic NP,2015,5,15
Olympic NP,2016,7,20
Olympic NP,2017,10,25
Olympic NP,2018,15,30
Petrified Forest NP,1980,NA,NA
Petrified Forest NP,1981,NA,NA
Petrified Forest NP,1982,NA,NA
Petrified Forest NP,1983,NA,NA
Petrified Forest NP,1984,NA,NA
Petrified Forest NP,1985,NA,NA
Petrified Forest NP,1986,NA,NA
Petrified Forest NP,1987,NA,NA
Petrified Forest NP,1988,NA,NA
Petrified Forest NP,1989,NA,NA
Petrified Forest NP,1990,NA,NA
Petrified Forest NP,1991,NA,NA
Petrified Forest NP,1992,NA,NA
Petrified Forest NP,1993,NA,NA
Petrified Forest NP,1994,NA,NA
Petrified Forest NP,1995,NA,NA
Petrified Forest NP,1996,NA,NA
Petrified Forest NP,1997,5,10
Petrified Forest NP,1998,5,10
Petrified Forest NP,1999,5,10
Petrified Forest NP,2000,5,10
Petrified Forest NP,2001,5,10
Petrified Forest NP,2002,5,10
Petrified Forest NP,2003,5,10
Petrified Forest NP,2004,5,10
Petrified Forest NP,2005,5,10
Petrified Forest NP,2006,5,10
Petrified Forest NP,2007,5,10
Petrified Forest NP,2008,5,10
Petrified Forest NP,2009,5,10
Petrified Forest NP,2010,5,10
Petrified Forest NP,2011,5,10
Petrified Forest NP,2012,5,10
Petrified Forest NP,2013,5,10
Petrified Forest NP,2014,5,10
Petrified Forest NP,2015,5,10
Petrified Forest NP,2016,10,20
Petrified Forest NP,2017,10,20
Petrified Forest NP,2018,10,20
Pinnacles NP,1980,NA,NA
Pinnacles NP,1981,NA,NA
Pinnacles NP,1982,NA,NA
Pinnacles NP,1983,NA,NA
Pinnacles NP,1984,NA,NA
Pinnacles NP,1985,NA,NA
Pinnacles NP,1986,NA,NA
Pinnacles NP,1987,NA,NA
Pinnacles NP,1988,NA,NA
Pinnacles NP,1989,NA,NA
Pinnacles NP,1990,NA,NA
Pinnacles NP,1991,NA,NA
Pinnacles NP,1992,NA,NA
Pinnacles NP,1993,NA,NA
Pinnacles NP,1994,NA,NA
Pinnacles NP,1995,NA,NA
Pinnacles NP,1996,NA,NA
Pinnacles NP,1997,2,5
Pinnacles NP,1998,2,5
Pinnacles NP,1999,2,5
Pinnacles NP,2000,2,5
Pinnacles NP,2001,2,5
Pinnacles NP,2002,2,5
Pinnacles NP,2003,2,5
Pinnacles NP,2004,2,5
Pinnacles NP,2005,3,5
Pinnacles NP,2006,3,5
Pinnacles NP,2007,3,5
Pinnacles NP,2008,3,5
Pinnacles NP,2009,3,5
Pinnacles NP,2010,3,5
Pinnacles NP,2011,3,5
Pinnacles NP,2012,3,5
Pinnacles NP,2013,3,5
Pinnacles NP,2014,5,10
Pinnacles NP,2015,5,10
Pinnacles NP,2016,10,15
Pinnacles NP,2017,10,15
Pinnacles NP,2018,12,25
Redwood NP,1980,NA,NA
Redwood NP,1981,NA,NA
Redwood NP,1982,NA,NA
Redwood NP,1983,NA,NA
Redwood NP,1984,NA,NA
Redwood NP,1985,NA,NA
Redwood NP,1986,NA,NA
Redwood NP,1987,NA,NA
Redwood NP,1988,NA,NA
Redwood NP,1989,NA,NA
Redwood NP,1990,NA,NA
Redwood NP,1991,NA,NA
Redwood NP,1992,NA,NA
Redwood NP,1993,NA,NA
Redwood NP,1994,NA,NA
Redwood NP,1995,NA,NA
Redwood NP,1996,NA,NA
Redwood NP,1997,0,0
Redwood NP,1998,0,0
Redwood NP,1999,0,0
Redwood NP,2000,0,0
Redwood NP,2001,0,0
Redwood NP,2002,0,0
Redwood NP,2003,0,0
Redwood NP,2004,0,0
Redwood NP,2005,0,0
Redwood NP,2006,0,0
Redwood NP,2007,0,0
Redwood NP,2008,0,0
Redwood NP,2009,0,0
Redwood NP,2010,0,0
Redwood NP,2011,0,0
Redwood NP,2012,0,0
Redwood NP,2013,0,0
Redwood NP,2014,0,0
Redwood NP,2015,0,0
Redwood NP,2016,0,0
Redwood NP,2017,0,0
Redwood NP,2018,0,0
Rocky Mountain NP,1980,NA,NA
Rocky Mountain NP,1981,NA,NA
Rocky Mountain NP,1982,NA,NA
Rocky Mountain NP,1983,NA,NA
Rocky Mountain NP,1984,NA,NA
Rocky Mountain NP,1985,NA,NA
Rocky Mountain NP,1986,NA,NA
Rocky Mountain NP,1987,NA,NA
Rocky Mountain NP,1988,NA,NA
Rocky Mountain NP,1989,NA,NA
Rocky Mountain NP,1990,NA,NA
Rocky Mountain NP,1991,NA,NA
Rocky Mountain NP,1992,NA,NA
Rocky Mountain NP,1993,NA,NA
Rocky Mountain NP,1994,NA,NA
Rocky Mountain NP,1995,NA,NA
Rocky Mountain NP,1996,NA,NA
Rocky Mountain NP,1997,5,10
Rocky Mountain NP,1998,5,10
Rocky Mountain NP,1999,5,10
Rocky Mountain NP,2000,5,10
Rocky Mountain NP,2001,5,15
Rocky Mountain NP,2002,5,15
Rocky Mountain NP,2003,5,15
Rocky Mountain NP,2004,5,15
Rocky Mountain NP,2005,10,20
Rocky Mountain NP,2006,10,20
Rocky Mountain NP,2007,10,20
Rocky Mountain NP,2008,10,20
Rocky Mountain NP,2009,10,20
Rocky Mountain NP,2010,10,20
Rocky Mountain NP,2011,10,20
Rocky Mountain NP,2012,10,20
Rocky Mountain NP,2013,10,20
Rocky Mountain NP,2014,10,20
Rocky Mountain NP,2015,10,20
Rocky Mountain NP,2016,10,20
Rocky Mountain NP,2017,10,20
Rocky Mountain NP,2018,15,25
Saguaro NP,1980,NA,NA
Saguaro NP,1981,NA,NA
Saguaro NP,1982,NA,NA
Saguaro NP,1983,NA,NA
Saguaro NP,1984,NA,NA
Saguaro NP,1985,NA,NA
Saguaro NP,1986,NA,NA
Saguaro NP,1987,NA,NA
Saguaro NP,1988,NA,NA
Saguaro NP,1989,NA,NA
Saguaro NP,1990,NA,NA
Saguaro NP,1991,NA,NA
Saguaro NP,1992,NA,NA
Saguaro NP,1993,NA,NA
Saguaro NP,1994,NA,NA
Saguaro NP,1995,NA,NA
Saguaro NP,1996,NA,NA
Saguaro NP,1997,2,4
Saguaro NP,1998,2,4
Saguaro NP,1999,2,4
Saguaro NP,2000,2,4
Saguaro NP,2001,3,6
Saguaro NP,2002,3,6
Saguaro NP,2003,3,6
Saguaro NP,2004,3,6
Saguaro NP,2005,5,10
Saguaro NP,2006,5,10
Saguaro NP,2007,5,10
Saguaro NP,2008,5,10
Saguaro NP,2009,5,10
Saguaro NP,2010,5,10
Saguaro NP,2011,5,10
Saguaro NP,2012,5,10
Saguaro NP,2013,5,10
Saguaro NP,2014,5,10
Saguaro NP,2015,5,10
Saguaro NP,2016,5,10
Saguaro NP,2017,5,15
Saguaro NP,2018,5,15
Sequoia NP,1980,NA,NA
Sequoia NP,1981,NA,NA
Sequoia NP,1982,NA,NA
Sequoia NP,1983,NA,NA
Sequoia NP,1984,NA,NA
Sequoia NP,1985,NA,NA
Sequoia NP,1986,NA,NA
Sequoia NP,1987,NA,NA
Sequoia NP,1988,NA,NA
Sequoia NP,1989,NA,NA
Sequoia NP,1990,NA,NA
Sequoia NP,1991,NA,NA
Sequoia NP,1992,NA,NA
Sequoia NP,1993,NA,NA
Sequoia NP,1994,NA,NA
Sequoia NP,1995,NA,NA
Sequoia NP,1996,NA,NA
Sequoia NP,1997,5,10
Sequoia NP,1998,5,10
Sequoia NP,1999,5,10
Sequoia NP,2000,5,10
Sequoia NP,2001,5,10
Sequoia NP,2002,5,10
Sequoia NP,2003,5,10
Sequoia NP,2004,5,10
Sequoia NP,2005,5,10
Sequoia NP,2006,10,20
Sequoia NP,2007,10,20
Sequoia NP,2008,10,20
Sequoia NP,2009,10,20
Sequoia NP,2010,10,20
Sequoia NP,2011,10,20
Sequoia NP,2012,10,20
Sequoia NP,2013,10,20
Sequoia NP,2014,10,20
Sequoia NP,2015,10,20
Sequoia NP,2016,15,30
Sequoia NP,2017,15,30
Sequoia NP,2018,20,35
Shenandoah NP,1980,NA,NA
Shenandoah NP,1981,NA,NA
Shenandoah NP,1982,NA,NA
Shenandoah NP,1983,NA,NA
Shenandoah NP,1984,NA,NA
Shenandoah NP,1985,NA,NA
Shenandoah NP,1986,NA,NA
Shenandoah NP,1987,NA,NA
Shenandoah NP,1988,NA,NA
Shenandoah NP,1989,NA,NA
Shenandoah NP,1990,NA,NA
Shenandoah NP,1991,NA,NA
Shenandoah NP,1992,NA,NA
Shenandoah NP,1993,NA,NA
Shenandoah NP,1994,NA,NA
Shenandoah NP,1995,NA,NA
Shenandoah NP,1996,NA,NA
Shenandoah NP,1997,5,10
Shenandoah NP,1998,5,10
Shenandoah NP,1999,5,10
Shenandoah NP,2000,5,10
Shenandoah NP,2001,5,10
Shenandoah NP,2002,5,10
Shenandoah NP,2003,5,10
Shenandoah NP,2004,5,10
Shenandoah NP,2005,5,10
Shenandoah NP,2006,5,10
Shenandoah NP,2007,5,10
Shenandoah NP,2008,5,10
Shenandoah NP,2009,5,10
Shenandoah NP,2010,5,10
Shenandoah NP,2011,5,10
Shenandoah NP,2012,5,10
Shenandoah NP,2013,8,10
Shenandoah NP,2014,8,10
Shenandoah NP,2015,10,20
Shenandoah NP,2016,10,20
Shenandoah NP,2017,10,25
Shenandoah NP,2018,15,30
Theodore Roosevelt NP,1980,NA,NA
Theodore Roosevelt NP,1981,NA,NA
Theodore Roosevelt NP,1982,NA,NA
Theodore Roosevelt NP,1983,NA,NA
Theodore Roosevelt NP,1984,NA,NA
Theodore Roosevelt NP,1985,NA,NA
Theodore Roosevelt NP,1986,NA,NA
Theodore Roosevelt NP,1987,NA,NA
Theodore Roosevelt NP,1988,NA,NA
Theodore Roosevelt NP,1989,NA,NA
Theodore Roosevelt NP,1990,NA,NA
Theodore Roosevelt NP,1991,NA,NA
Theodore Roosevelt NP,1992,NA,NA
Theodore Roosevelt NP,1993,NA,NA
Theodore Roosevelt NP,1994,NA,NA
Theodore Roosevelt NP,1995,NA,NA
Theodore Roosevelt NP,1996,NA,NA
Theodore Roosevelt NP,1997,5,10
Theodore Roosevelt NP,1998,5,10
Theodore Roosevelt NP,1999,5,10
Theodore Roosevelt NP,2000,5,10
Theodore Roosevelt NP,2001,5,10
Theodore Roosevelt NP,2002,5,10
Theodore Roosevelt NP,2003,5,10
Theodore Roosevelt NP,2004,5,10
Theodore Roosevelt NP,2005,5,10
Theodore Roosevelt NP,2006,5,10
Theodore Roosevelt NP,2007,5,10
Theodore Roosevelt NP,2008,5,10
Theodore Roosevelt NP,2009,5,10
Theodore Roosevelt NP,2010,5,10
Theodore Roosevelt NP,2011,5,10
Theodore Roosevelt NP,2012,5,10
Theodore Roosevelt NP,2013,5,10
Theodore Roosevelt NP,2014,5,10
Theodore Roosevelt NP,2015,10,20
Theodore Roosevelt NP,2016,10,20
Theodore Roosevelt NP,2017,12,25
Theodore Roosevelt NP,2018,15,30
Virgin Islands NP,1980,NA,NA
Virgin Islands NP,1981,NA,NA
Virgin Islands NP,1982,NA,NA
Virgin Islands NP,1983,NA,NA
Virgin Islands NP,1984,NA,NA
Virgin Islands NP,1985,NA,NA
Virgin Islands NP,1986,NA,NA
Virgin Islands NP,1987,NA,NA
Virgin Islands NP,1988,NA,NA
Virgin Islands NP,1989,NA,NA
Virgin Islands NP,1990,NA,NA
Virgin Islands NP,1991,NA,NA
Virgin Islands NP,1992,NA,NA
Virgin Islands NP,1993,NA,NA
Virgin Islands NP,1994,NA,NA
Virgin Islands NP,1995,NA,NA
Virgin Islands NP,1996,NA,NA
Virgin Islands NP,1997,0,0
Virgin Islands NP,1998,0,0
Virgin Islands NP,1999,0,0
Virgin Islands NP,2000,0,0
Virgin Islands NP,2001,0,0
Virgin Islands NP,2002,0,0
Virgin Islands NP,2003,0,0
Virgin Islands NP,2004,0,0
Virgin Islands NP,2005,0,0
Virgin Islands NP,2006,0,0
Virgin Islands NP,2007,0,0
Virgin Islands NP,2008,0,0
Virgin Islands NP,2009,0,0
Virgin Islands NP,2010,0,0
Virgin Islands NP,2011,0,0
Virgin Islands NP,2012,0,0
Virgin Islands NP,2013,0,0
Virgin Islands NP,2014,0,0
Virgin Islands NP,2015,0,0
Virgin Islands NP,2016,0,0
Virgin Islands NP,2017,0,0
Virgin Islands NP,2018,0,0
Voyageurs NP,1980,NA,NA
Voyageurs NP,1981,NA,NA
Voyageurs NP,1982,NA,NA
Voyageurs NP,1983,NA,NA
Voyageurs NP,1984,NA,NA
Voyageurs NP,1985,NA,NA
Voyageurs NP,1986,NA,NA
Voyageurs NP,1987,NA,NA
Voyageurs NP,1988,NA,NA
Voyageurs NP,1989,NA,NA
Voyageurs NP,1990,NA,NA
Voyageurs NP,1991,NA,NA
Voyageurs NP,1992,NA,NA
Voyageurs NP,1993,NA,NA
Voyageurs NP,1994,NA,NA
Voyageurs NP,1995,NA,NA
Voyageurs NP,1996,NA,NA
Voyageurs NP,1997,NA,NA
Voyageurs NP,1998,NA,NA
Voyageurs NP,1999,NA,NA
Voyageurs NP,2000,NA,NA
Voyageurs NP,2001,NA,NA
Voyageurs NP,2002,NA,NA
Voyageurs NP,2003,NA,NA
Voyageurs NP,2004,0,0
Voyageurs NP,2005,0,0
Voyageurs NP,2006,0,0
Voyageurs NP,2007,0,0
Voyageurs NP,2008,0,0
Voyageurs NP,2009,0,0
Voyageurs NP,2010,0,0
Voyageurs NP,2011,0,0
Voyageurs NP,2012,0,0
Voyageurs NP,2013,0,0
Voyageurs NP,2014,0,0
Voyageurs NP,2015,0,0
Voyageurs NP,2016,0,0
Voyageurs NP,2017,0,0
Voyageurs NP,2018,0,0
Wind Cave NP,1980,NA,NA
Wind Cave NP,1981,NA,NA
Wind Cave NP,1982,NA,NA
Wind Cave NP,1983,NA,NA
Wind Cave NP,1984,NA,NA
Wind Cave NP,1985,NA,NA
Wind Cave NP,1986,NA,NA
Wind Cave NP,1987,NA,NA
Wind Cave NP,1988,NA,NA
Wind Cave NP,1989,NA,NA
Wind Cave NP,1990,NA,NA
Wind Cave NP,1991,NA,NA
Wind Cave NP,1992,NA,NA
Wind Cave NP,1993,NA,NA
Wind Cave NP,1994,NA,NA
Wind Cave NP,1995,NA,NA
Wind Cave NP,1996,NA,NA
Wind Cave NP,1997,NA,NA
Wind Cave NP,1998,NA,NA
Wind Cave NP,1999,0,0
Wind Cave NP,2000,0,0
Wind Cave NP,2001,0,0
Wind Cave NP,2002,0,0
Wind Cave NP,2003,0,0
Wind Cave NP,2004,0,0
Wind Cave NP,2005,0,0
Wind Cave NP,2006,0,0
Wind Cave NP,2007,0,0
Wind Cave NP,2008,0,0
Wind Cave NP,2009,0,0
Wind Cave NP,2010,0,0
Wind Cave NP,2011,0,0
Wind Cave NP,2012,0,0
Wind Cave NP,2013,0,0
Wind Cave NP,2014,0,0
Wind Cave NP,2015,0,0
Wind Cave NP,2016,0,0
Wind Cave NP,2017,0,0
Wind Cave NP,2018,0,0
Wrangell-St. Elias NP & PRES,1980,NA,NA
Wrangell-St. Elias NP & PRES,1981,NA,NA
Wrangell-St. Elias NP & PRES,1982,NA,NA
Wrangell-St. Elias NP & PRES,1983,NA,NA
Wrangell-St. Elias NP & PRES,1984,NA,NA
Wrangell-St. Elias NP & PRES,1985,NA,NA
Wrangell-St. Elias NP & PRES,1986,NA,NA
Wrangell-St. Elias NP & PRES,1987,NA,NA
Wrangell-St. Elias NP & PRES,1988,NA,NA
Wrangell-St. Elias NP & PRES,1989,NA,NA
Wrangell-St. Elias NP & PRES,1990,NA,NA
Wrangell-St. Elias NP & PRES,1991,NA,NA
Wrangell-St. Elias NP & PRES,1992,NA,NA
Wrangell-St. Elias NP & PRES,1993,NA,NA
Wrangell-St. Elias NP & PRES,1994,NA,NA
Wrangell-St. Elias NP & PRES,1995,NA,NA
Wrangell-St. Elias NP & PRES,1996,NA,NA
Wrangell-St. Elias NP & PRES,1997,0,0
Wrangell-St. Elias NP & PRES,1998,0,0
Wrangell-St. Elias NP & PRES,1999,0,0
Wrangell-St. Elias NP & PRES,2000,0,0
Wrangell-St. Elias NP & PRES,2001,0,0
Wrangell-St. Elias NP & PRES,2002,0,0
Wrangell-St. Elias NP & PRES,2003,0,0
Wrangell-St. Elias NP & PRES,2004,0,0
Wrangell-St. Elias NP & PRES,2005,0,0
Wrangell-St. Elias NP & PRES,2006,0,0
Wrangell-St. Elias NP & PRES,2007,0,0
Wrangell-St. Elias NP & PRES,2008,0,0
Wrangell-St. Elias NP & PRES,2009,0,0
Wrangell-St. Elias NP & PRES,2010,0,0
Wrangell-St. Elias NP & PRES,2011,0,0
Wrangell-St. Elias NP & PRES,2012,0,0
Wrangell-St. Elias NP & PRES,2013,0,0
Wrangell-St. Elias NP & PRES,2014,0,0
Wrangell-St. Elias NP & PRES,2015,0,0
Wrangell-St. Elias NP & PRES,2016,0,0
Wrangell-St. Elias NP & PRES,2017,0,0
Wrangell-St. Elias NP & PRES,2018,0,0
Yellowstone NP,1980,NA,NA
Yellowstone NP,1981,NA,NA
Yellowstone NP,1982,NA,NA
Yellowstone NP,1983,NA,NA
Yellowstone NP,1984,NA,NA
Yellowstone NP,1985,NA,NA
Yellowstone NP,1986,NA,NA
Yellowstone NP,1987,NA,NA
Yellowstone NP,1988,NA,NA
Yellowstone NP,1989,NA,NA
Yellowstone NP,1990,NA,NA
Yellowstone NP,1991,NA,NA
Yellowstone NP,1992,NA,NA
Yellowstone NP,1993,NA,NA
Yellowstone NP,1994,NA,NA
Yellowstone NP,1995,NA,NA
Yellowstone NP,1996,NA,NA
Yellowstone NP,1997,10,20
Yellowstone NP,1998,10,20
Yellowstone NP,1999,10,20
Yellowstone NP,2000,10,20
Yellowstone NP,2001,10,20
Yellowstone NP,2002,10,20
Yellowstone NP,2003,10,20
Yellowstone NP,2004,10,20
Yellowstone NP,2005,10,20
Yellowstone NP,2006,12,25
Yellowstone NP,2007,12,25
Yellowstone NP,2008,12,25
Yellowstone NP,2009,12,25
Yellowstone NP,2010,12,25
Yellowstone NP,2011,12,25
Yellowstone NP,2012,12,25
Yellowstone NP,2013,12,25
Yellowstone NP,2014,12,25
Yellowstone NP,2015,15,30
Yellowstone NP,2016,15,30
Yellowstone NP,2017,15,30
Yellowstone NP,2018,20,35
Yosemite NP,1980,NA,NA
Yosemite NP,1981,NA,NA
Yosemite NP,1982,NA,NA
Yosemite NP,1983,NA,NA
Yosemite NP,1984,NA,NA
Yosemite NP,1985,NA,NA
Yosemite NP,1986,NA,NA
Yosemite NP,1987,NA,NA
Yosemite NP,1988,NA,NA
Yosemite NP,1989,NA,NA
Yosemite NP,1990,NA,NA
Yosemite NP,1991,NA,NA
Yosemite NP,1992,NA,NA
Yosemite NP,1993,NA,NA
Yosemite NP,1994,NA,NA
Yosemite NP,1995,NA,NA
Yosemite NP,1996,NA,NA
Yosemite NP,1997,10,20
Yosemite NP,1998,10,20
Yosemite NP,1999,10,20
Yosemite NP,2000,10,20
Yosemite NP,2001,10,20
Yosemite NP,2002,10,20
Yosemite NP,2003,10,20
Yosemite NP,2004,10,20
Yosemite NP,2005,10,20
Yosemite NP,2006,10,20
Yosemite NP,2007,10,20
Yosemite NP,2008,10,20
Yosemite NP,2009,10,20
Yosemite NP,2010,10,20
Yosemite NP,2011,10,20
Yosemite NP,2012,10,20
Yosemite NP,2013,10,20
Yosemite NP,2014,10,20
Yosemite NP,2015,15,30
Yosemite NP,2016,15,30
Yosemite NP,2017,15,30
Yosemite NP,2018,20,35
Zion NP,1980,NA,NA
Zion NP,1981,NA,NA
Zion NP,1982,NA,NA
Zion NP,1983,NA,NA
Zion NP,1984,NA,NA
Zion NP,1985,NA,NA
Zion NP,1986,NA,NA
Zion NP,1987,NA,NA
Zion NP,1988,NA,NA
Zion NP,1989,NA,NA
Zion NP,1990,NA,NA
Zion NP,1991,NA,NA
Zion NP,1992,NA,NA
Zion NP,1993,NA,NA
Zion NP,1994,NA,NA
Zion NP,1995,NA,NA
Zion NP,1996,NA,NA
Zion NP,1997,5,10
Zion NP,1998,5,10
Zion NP,1999,5,10
Zion NP,2000,10,20
Zion NP,2001,10,20
Zion NP,2002,10,20
Zion NP,2003,10,20
Zion NP,2004,10,20
Zion NP,2005,10,20
Zion NP,2006,10,20
Zion NP,2007,12,25
Zion NP,2008,12,25
Zion NP,2009,12,25
Zion NP,2010,12,25
Zion NP,2011,12,25
Zion NP,2012,12,25
Zion NP,2013,12,25
Zion NP,2014,12,25
Zion NP,2015,12,25
Zion NP,2016,15,30
Zion NP,2017,15,30
Zion NP,2018,20,35